Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,fex10_1,fex10_2,fex10_3,fex2_1,fex2_2,fex2_3,S2R_1,S2R_2,S2R_3
stnB,898.4336809879744,1.8945022224703514,0.09729488498774416,19.471755608827678,1.9062499090264585e-84,3.1742347623064717e-82,1064.2835685696712,916.3481221373836,1013.1330318253847,1366.8880157154435,1361.6991460029894,1284.1428456926985,364.49688801931745,389.9370231769147,324.97448775196654
CG10132,317.95730863825503,3.7611169521439396,0.19814253587450334,18.98187552482977,2.4084319325265423e-80,3.942480610905313e-78,624.7588276565475,581.7090468175883,544.2541779280787,369.05976424316975,336.63175266786993,329.3898005680156,20.69698417775304,24.93203472998176,30.183388955291008
Idgf5,572.3236665329941,1.9092153246965304,0.10146075404469464,18.817279081678212,5.451304585238496e-79,8.774783280705566e-77,749.0606490238449,802.7167850350232,763.7293861353284,779.1261689578029,748.1759235350687,713.2005247081381,178.22403041954007,210.42637312104605,206.25315786115522
pain,534.3254794377327,5.7398687491380755,0.30714858603087786,18.68759619997418,6.246471704251029e-78,9.88990552781253e-76,1064.2835685696712,1125.888477711461,1196.0290386647594,485.24524557898246,411.5441708671987,500.29059564533384,4.599329817278454,8.975532502793433,12.073355582116402
pst,1365.6528230574106,-1.6731307744912893,0.08957755987183612,-18.67801240494981,7.47511138387136e-78,1.164429447506929e-75,975.7286762230344,933.0279514368127,916.6969554918962,758.6228487220711,758.6067665754815,741.8431160618786,2595.1718493993676,2481.2360963277847,2129.9411472783686
Socs36E,2042.7311632717324,1.3194069036243075,0.07093899093704055,18.599177775101165,3.2627366783043413e-77,5.001827117311639e-75,3092.1093602871515,3264.034096032023,3155.7874634648474,2209.476842545749,2060.5656297106516,2064.176083559564,858.9248433767513,874.6157783277602,804.8903721410935
CG14273,2125.0571191235745,1.5178200114161482,0.08197605875760323,18.515406015117446,1.551227590060025e-76,2.3048855484307263e-74,3235.9095065748097,3589.2907673708896,3642.4016877223353,2198.737008136556,2057.720854335994,2160.606141117157,743.9415979447899,703.0833793854856,793.8231295241535
FER,5024.190870965662,1.2006532800949397,0.06484347321396661,18.51617781381167,1.5291540950596716e-76,2.3048855484307263e-74,7203.818627868149,7413.141634265,7375.697148540602,5403.113056406618,5341.539895149609,5440.182851120443,2283.5672542787524,2527.111040230951,2229.546330830829
Nrg,655.416591948589,2.1516546071903186,0.11670664057616524,18.436436834852625,6.701453688624566e-76,9.806460564353948e-74,1445.3133347217138,1422.9979371075412,1413.2873255769864,429.59337636771085,431.4575984898051,459.23621470497244,96.58592616284753,106.70910864432193,93.56850576140212
CG9932,2063.569099444674,1.2697791151795563,0.06905092461629826,18.389024075136675,1.6084930906145358e-75,2.3186307864410727e-73,3055.550001061476,3063.8761444388742,3032.7483315910863,2319.8042323856384,2140.219340201077,2198.7962629221447,916.4164660927319,965.3683847448937,879.3427315641446
CG46339,3425.3332243965096,1.694693166007936,0.0928713366333394,18.24775250838338,2.1559831650685545e-74,3.062130207092956e-72,6355.6414938324715,7300.552786493854,6182.993491818376,2851.9142099320075,2725.2948089224174,2819.3857422531883,803.7328855694097,952.4037266853032,836.0798740615609
Nrt,415.1639374542759,2.357302120421808,0.12950182559837617,18.20284856626273,4.8992586323763875e-74,6.857542010361037e-72,662.1306170872382,644.2584066904473,675.0525343344194,481.3398512483669,480.7670383172114,507.9286200063313,74.73910953077487,115.68464114711536,94.57461872657849
Tep2,2508.8831260829684,2.033875651604582,0.11177449545046605,18.196240952891742,5.527304996441045e-74,7.626101665089659e-72,3395.1458267577527,3708.1345511293216,3726.6446969331987,3051.089320793401,3148.2180812882484,3246.1603534239216,673.8018182312935,926.4744105661222,704.2790756234568
DAAM,1096.0032843807903,1.7565385458228946,0.09693801387290073,18.120224209730168,2.206938595957837e-73,3.0020581633465903e-71,1261.7041083883203,1200.9477095588918,1402.2027191018728,1601.2116755523768,1601.6085359324854,1427.3558024614008,424.28817564393734,457.7521576424651,486.95867514536155
CG5895,625.9277405966287,1.6973964834123512,0.09416299330911512,18.026152565479677,1.214544873486157e-72,1.6291769983512925e-70,930.2325847421936,885.0734422009542,917.8054161394076,736.1668313210317,726.3659789960236,753.3001526033747,243.76448031575805,231.36928229423071,209.27149675668431
CG8500,524.65596362536985,-2.0128745237373726,0.1118549689309117,-17.99539656553518,2.1170128744567043e-72,2.800837033082582e-70,304.66132688063107,275.2171834405794,335.86357619594264,268.49586022981924,232.32332226374123,254.91906304829033,1079.692674606117,1050.1373028268317,920.5933631363757
Fas1,1031.83607091277,-1.840809722624583,0.10233582581790511,-17.98793050148531,2.422367661071988e-72,3.16151714468017e-70,710.8764293881392,799.5893170413802,769.2716893728851,495.98507998817524,513.9560843548887,519.3856565478275,1750.0449954744515,2071.3534453668844,1656.0619406802998
gol,220.47705654979782,3.01858756369402,0.16939214643795789,17.820115201147285,4.933481082351932e-71,6.353008039113995e-69,222.60587617411443,241.85752484172127,249.40364569005644,359.29627841663086,362.23473103979245,408.6343033133643,55.191957807341446,50.86135084916279,34.20784081599648
rpr,768.7157778439439,1.7769991926047732,0.09980493998316724,17.80472181942573,6.495418151499267e-71,8.254309014102621e-69,1139.8395776360678,1168.630540291248,1171.6429044195095,816.2274150986506,868.6047477289263,976.7123651625506,261.01196713055225,268.2686936946037,247.50378943338626
